Company/Candidate Name,Skill,Total Sub-skills,Total Counts
2C2P,"Business, Business",2,2
ACB - Asia Commercial Bank,"DevOps, Coding, WebD, Coding, Coding, DevOps, DevOps",7,8
AFR Solutions,"Business, Business, Soft_Skills, Analytics, Business",5,5
"Acara Solutions, An Aleron Company","DevOps, WebD",2,4
Accenture,"DevOps, Coding, WebD, Coding, WebD, Coding, DevOps",7,8
Adecco,"Business, WebD",2,3
Aloha Consulting Group,WebD,1,2
ApplyBoard,WebD,1,1
Aspire,Coding,1,1
Astek Vietnam,Coding,1,1
Astellas Pharma,"Soft_Skills, Business",2,2
Avery Dennison,WebD,1,1
B. Braun Group,Business,1,2
BAT,Business,1,2
BDA Partners,"DevOps, Analytics",2,2
BSH Home Appliances Group,"Business, Marketing, Analytics",3,4
BayWa r.e. APAC,WebD,1,3
Beings,"DevOps, Coding, DevOps, Coding, Coding, WebD, DevOps",7,7
C.H. Robinson,Analytics,1,1
CHANEL,"Business, Analytics, Business",3,3
CLO Virtual Fashion Inc.,WebD,1,2
CNAV Business Value,"Soft_Skills, Soft_Skills",2,2
CONNECTe INTERNATIONAL PTE LTD,WebD,1,1
CONSTANTIN Group,Analytics,1,1
COSCO SHIPPING SPECIALIZED CARRIERS (SOUTHEAST ASIA) PTE. LTD.,"WebD, Coding, Business",3,5
Canadian Wood Vietnam,"Business, WebD, Analytics, DevOps",4,5
Cao Đẳng Việt Mỹ,Soft_Skills,1,1
Carousell Group,"ML/AI, Coding",2,2
Cartrack,Analytics,1,1
Chapter Recruitment,WebD,1,1
"Chart Industries, Inc.","Soft_Skills, Business, Business, Analytics",4,4
Circle K Vietnam,"Business, Analytics",2,2
Citi,WebD,1,2
Cognita Schools,"Soft_Skills, Business, Soft_Skills",3,4
Colgate-Palmolive,"Business, WebD, Mgmt.",3,8
Compass Offices,WebD,1,3
Connexant Company Limited,"Business, Soft_Skills, Analytics, Analytics, Business",5,9
Consea Group,WebD,1,1
Contego - Global Talent Solutions,"WebD, Analytics, Analytics, Business",4,4
Crypto.com,DevOps,1,1
Cushman & Wakefield,"WebD, Analytics, DevOps",3,3
Dentons LuatViet,WebD,1,1
Dentsu Creative,"WebD, Soft_Skills, Business, Soft_Skills, Soft_Skills",5,8
Destination Asia,WebD,1,6
Dezan Shira & Associates,"Marketing, Analytics, DevOps",3,4
Diana Unicharm JSC,"Business, DevOps, Analytics",3,3
Disney Experiences,Business,1,1
DisplaySweet,"Coding, WebD",2,2
EMVN Music Licensing,Soft_Skills,1,1
Elanco,"Business, Soft_Skills, Soft_Skills",3,3
Entravision APAC,WebD,1,1
Entravision Vietnam,WebD,1,2
Evonik,Coding,1,1
Excis Compliance,Business,1,1
Exclusive Networks,"Coding, Business, WebD",3,3
Faraday,Analytics,1,1
Ferring Pharmaceuticals,Business,1,1
Fersol (ex-Brunel Russia),WebD,1,1
Festo,Analytics,1,1
"FinT Vietnam, Inc.","Marketing, Business",2,3
Fluke Corporation,Business,1,7
Fonterra,"Business, Soft_Skills, Business, Soft_Skills",4,6
Francia Beauty Group,Business,1,1
Fulbright University Vietnam,"Soft_Skills, Business, Soft_Skills",3,3
Funding Societies | Modalku Group,"Coding, Soft_Skills",2,2
"GMO Research & AI, Inc.","Business, DevOps, Soft_Skills, Coding, WebD, Coding, WebD",7,9
Gaia Information Technology,"DevOps, WebD",2,2
Generali Vietnam Life Insurance,Soft_Skills,1,1
Geniebook,"Soft_Skills, Business",2,3
Genpact,WebD,1,1
Globevisa Group,"Business, WebD, Marketing, Soft_Skills",4,7
GoNetZero™,Business,1,1
Gojek,"Soft_Skills, WebD, Soft_Skills, Soft_Skills, Soft_Skills",5,5
Goldwind,Business,1,1
Groupe SEB,Business,1,2
Hallmark Cards Asia,"Analytics, DevOps",2,2
Hanwhalife Việt Nam,Business,1,1
Hello Health Group,"WebD, Business, Coding, Soft_Skills, Soft_Skills",5,6
Henkel,Business,1,1
Highlands Coffee®,"DevOps, Soft_Skills",2,2
Hikvision,Soft_Skills,1,1
House of Shipping,"WebD, Business, Soft_Skills",3,6
"Howden, A Chart Industries Company","Soft_Skills, Business, Business, Analytics",4,4
Imexpharm Corporation,Business,1,1
Innity,"Marketing, Business, WebD, WebD",4,7
International School Ho Chi Minh City,"Business, Soft_Skills",2,9
Ivoclar,Business,1,1
JDA WMS,"WebD, Soft_Skills",2,6
JTI (Japan Tobacco International),Business,1,1
Jaspal Group,"Soft_Skills, Business",2,2
Jaxtina English Center,Business,1,1
"Jollibee Vietnam Co., Ltd","Business, Marketing, Marketing, Marketing, Soft_Skills, Marketing, DevOps, Business, Soft_Skills",9,20
KFC Vietnam,"Business, Soft_Skills, Business",3,3
Knight Frank,"Business, Analytics",2,2
LHH Vietnam,"Soft_Skills, Business",2,2
LTD Material LLC,Soft_Skills,1,1
LivWell,"Analytics, Business, Soft_Skills",3,3
Luxoft Vietnam,"WebD, Coding",2,2
L’OCCITANE Group,"Business, Analytics, DevOps, Business",4,4
MSL (Global),"WebD, Soft_Skills",2,3
MSL UK,"WebD, Soft_Skills",2,3
MagnetIX,WebD,1,2
Mars,"Analytics, Business",2,2
Marvell Technology,"Coding, WebD",2,2
Mercedes-Benz Vietnam,Business,1,1
Microchip Technology Inc.,Soft_Skills,1,1
Miraiku Little Hands Kindergarten,Business,1,1
Moët Hennessy,"Soft_Skills, WebD",2,2
"NTT DATA, Inc.","WebD, DevOps, DevOps",3,3
Nam Long Group - NLG,Soft_Skills,1,1
Nihon M&A Center Inc.,WebD,1,3
OLIVER Agency,"Soft_Skills, WebD, Business",3,14
ONE,"Business, Soft_Skills, DevOps, DevOps, DevOps",5,7
Oesia,Soft_Skills,1,1
Otto International,"Coding, Coding, Coding, WebD, Coding, Coding, WebD",7,7
PEOPLE PROFILERS,Analytics,1,1
PM Solution,"Coding, DevOps",2,2
PUMA Group,"Coding, WebD, DevOps, Business, DevOps, DevOps, Business",7,9
Paramont Group,Business,1,1
PepsiCo,Soft_Skills,1,1
Pharmacity,"Analytics, DevOps, Coding, Coding, WebD",5,5
Pierre Fabre Group,"Soft_Skills, Business",2,2
Rhenus Logistics,"Business, Mgmt., Soft_Skills",3,3
Rieckermann,Coding,1,1
Robert Walters,WebD,1,1
Royal De Heus,"Business, Analytics",2,2
Royal HaskoningDHV,"Business, Coding, Marketing, DevOps, DevOps",5,5
SMG Swiss Marketplace Group,Business,1,1
SPD Scientific,Business,1,1
Saigon Centre Shopping Mall,Analytics,1,1
Saint-Gobain Vietnam,Soft_Skills,1,1
Second Talent,WebD,1,2
Serdao | Digital Services & 24/7 IT Support,"Coding, WebD",2,4
ShopeePay,"Business, Analytics",2,2
Siemens Gamesa,Business,1,1
Sony Music Entertainment,"Analytics, Soft_Skills, Business",3,5
Starbucks Vietnam,"Soft_Skills, Business",2,3
Sunbytes,WebD,1,1
TAM SON INTERNATIONAL JSC,"Analytics, DevOps",2,2
Techtronic Industries Vietnam,"Business, Soft_Skills",2,3
Terroir & Spice,Business,1,2
Terumo Asia Pacific,"Soft_Skills, Analytics",2,2
The Access Group - Asia Pacific,"Soft_Skills, ML/AI, WebD",3,5
The Coca-Cola Company,WebD,1,1
Trip.com Group,Business,1,1
Turner & Townsend,"Business, WebD",2,2
Uni-Fuels,WebD,1,1
Vero,"WebD, Soft_Skills, Soft_Skills, Business",4,6
Walmart,Analytics,1,1
Warner Music Group,Soft_Skills,1,1
"Wayzim Technology Co., Ltd.","WebD, Business",2,3
XTB online investing,"WebD, Business",2,2
Yves Rocher Vietnam,DevOps,1,1
Zalo,WebD,1,1
Zoetis,"Business, Business",2,2
cargo-partner,"WebD, Business, Analytics",3,4
interpool HR,WebD,1,1
