Company/Candidate Name,Analytics,Business,Coding,DevOps,ML/AI,Marketing,Maths,Prod_mgmt.,Security_Network,Soft_Skills,WebD
2C2P,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
ABeam Consulting Vietnam,1.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,12.0,2.0
ACB - Asia Commercial Bank,3.0,2.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
ACCA Careers,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0
AFR Solutions,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0
AIA Vietnam,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,0.0
AIRR Labs,0.0,7.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,10.0,1.0
AIT Worldwide Logistics,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0
AS White Global,3.0,2.0,5.0,7.0,0.0,0.0,0.0,0.0,0.0,18.0,18.0
ASIA INGREDIENTS GROUP,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0
ASUS,0.0,2.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,9.0,0.0
"Acara Solutions, An Aleron Company",0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
Accenture,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0
Adecco,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0
Adjust,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0
Akrivia HCM,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
AkzoNobel,2.0,3.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0
Alibaba Cloud,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
Align Technology,1.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0
Aloha Consulting Group,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0
Amer Sports,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
Amway Vietnam,1.0,7.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,17.0,0.0
Ant International,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AnyMind Group,6.0,61.0,0.0,8.0,0.0,17.0,0.0,0.0,0.0,69.0,11.0
Anywr,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0
ApplyBoard,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0
Arches,4.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0
Artemis Digital,2.0,7.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,5.0,1.0
Aspire,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
Astek,0.0,4.0,2.0,7.0,0.0,0.0,0.0,0.0,1.0,13.0,2.0
Astek Vietnam,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
Astellas Pharma,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0
AstraZeneca,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
Autograph Collection,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
Avery Dennison,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0
Axon,1.0,4.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,11.0,0.0
B. Braun Group,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,10.0,0.0
B2X Care Solutions,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
BAT,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
BDA Partners,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0
BSH Home Appliances Group,1.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0
BStar Solutions - Galaxy Holdings,2.0,0.0,5.0,3.0,0.0,0.0,1.0,0.0,0.0,3.0,3.0
Baker McKenzie,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
BayWa r.e. APAC,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0
Beings,0.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0
Beko Vietnam,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Beyondsoft,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0
Bizzi Vietnam,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0
Blackmores Group,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
Bosch ASEAN,1.0,2.0,0.0,2.0,1.0,0.0,0.0,2.0,1.0,10.0,0.0
Boston Consulting Group (BCG),0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
Brooks Running,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0
Buymed,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0
BẢO VIỆT NHÂN THỌ GIA ĐỊNH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0
C.H. Robinson,1.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
CBTW APAC,0.0,3.0,7.0,15.0,0.0,0.0,0.0,0.0,0.0,17.0,7.0
CEVA Logistics,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
CGP Vietnam,1.0,12.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,16.0,4.0
CHANEL,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0
CLO Virtual Fashion Inc.,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0
CNAV Business Value,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0
CONNECTe INTERNATIONAL PTE LTD,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0
CONSTANTIN Group,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
COSCO SHIPPING SPECIALIZED CARRIERS (SOUTHEAST ASIA) PTE. LTD.,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0
CPA Australia,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
Canadian Wood Vietnam,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,2.0
Canopus Advisors,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
Cao Đẳng Việt Mỹ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
Capillary Technologies,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,9.0,2.0
Carlsberg Group,2.0,5.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0
Carousell Group,0.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0
Cartrack,1.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0
Chapter Recruitment,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0
"Chart Industries, Inc.",1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
Chợ Tốt,3.0,15.0,6.0,3.0,1.0,1.0,0.0,1.0,0.0,23.0,2.0
Circle K Vietnam,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0
Citi,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0
Coca-Cola Beverages Vietnam,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0
Cognita Schools,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
Colgate-Palmolive,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
Compass Offices,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0
Concentrix,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,1.0
Confidential,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0
Confluence,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0
Connexant Company Limited,1.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,5.0,0.0
Consea Group,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0
Contego - Global Talent Solutions,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Crypto.com,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Cushman & Wakefield,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0
DDS Petro Group,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
DHL Supply Chain,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,1.0
DJRecruit Asia,0.0,5.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,9.0,2.0
DKSH,6.0,14.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0,32.0,2.0
DP World,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0
DXC Technology Vietnam,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
DYM VIETNAM COMPANY LIMITED,0.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,6.0,4.0
Dai-ichi Life Vietnam,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0
Danone,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
Deloitte,4.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,4.0
Dentons LuatViet,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0
Dentsu Creative,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0
Dentsu Sports Vietnam,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
Destination Asia,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Dextra Transport,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
Dezan Shira & Associates,2.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0
Diag Medical,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0
Diana Unicharm JSC,1.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
Digiworld Corporation,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0
Disney Experiences,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0
DisplaySweet,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
E-Study School,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
EMVN Music Licensing,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
EQuest Education Group,0.0,3.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,7.0,0.0
EVEROK GROUP,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0
EY,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,17.0,2.0
Edelman,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0
Elanco,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
Element6 Technologies,1.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,0.0
Entravision APAC,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0
Entravision Vietnam,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,1.0
Evonik,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0
Evoto AI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Excis Compliance,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0
Exclusive Networks,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0
FE CREDIT,8.0,5.0,4.0,8.0,1.0,1.0,0.0,0.0,0.0,19.0,1.0
Faraday,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
Ferring Pharmaceuticals,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
Fersol (ex-Brunel Russia),0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Festo,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
"FinT Vietnam, Inc.",0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0
Fluke Corporation,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0
Fonterra,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,7.0,0.0
Formative Search,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
Forvis Mazars in Vietnam,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0
Four Hands Vietnam,0.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,10.0,0.0
Francia Beauty Group,1.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0
Fulbright University Vietnam,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0
Funding Societies | Modalku Group,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0
GENUINE PARTNER GROUP,0.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,6.0
GETS - Global Energy Technical services Company limited,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
GFT Technologies,1.0,13.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,34.0,1.0
GMEELAN,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,0.0
"GMO Research & AI, Inc.",0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,4.0,2.0
GREENFEED GROUP,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0,0.0
Gaia Information Technology,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0
Galaxy FinX,1.0,5.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0
"Galaxy Studio., JSC",3.0,10.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,27.0,0.0
Gamuda Land (Vietnam),0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,0.0
Gene Solutions,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0
Generali Vietnam Life Insurance,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
Geniebook,1.0,5.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0
Genpact,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0
GiaoHangNhanh (GHN),4.0,5.0,3.0,10.0,0.0,0.0,0.0,1.0,0.0,12.0,6.0
Givaudan,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Global Sources,0.0,5.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,7.0,0.0
Globevisa Group,0.0,3.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,5.0,1.0
GoNetZero™,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
Gojek,2.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,1.0
Golden Communication Group,1.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,11.0,2.0
Goldwind,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
Google,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,1.0
Grab,1.0,6.0,6.0,5.0,0.0,0.0,3.0,1.0,0.0,10.0,5.0
GroupM,0.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,2.0
Groupe SEB,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
Gucci,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
HCLTech Vietnam,2.0,6.0,7.0,5.0,1.0,0.0,0.0,0.0,2.0,13.0,5.0
HEINEKEN Vietnam,2.0,3.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,17.0,0.0
HRS Group,2.0,9.0,4.0,3.0,0.0,0.0,0.0,1.0,0.0,17.0,4.0
HSBC,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0
Hahalolo Travel Social Network Viet Nam,1.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,0.0
Hakuhodo in Vietnam,0.0,18.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,36.0,5.0
Hallmark Cards Asia,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
Hansen Technologies,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
Hanwhalife Việt Nam,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Hasaki.vn,0.0,5.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,12.0,0.0
Havas,3.0,5.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,10.0,2.0
Hello Health Group,1.0,4.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,1.0
Henkel,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Highlands Coffee®,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0
Hikvision,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
Hitachi Digital Services,0.0,7.0,9.0,5.0,0.0,0.0,0.0,0.0,0.0,31.0,6.0
Ho Chi Minh City Securities Corporation (HSC),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0
Home Credit Vietnam,2.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
House of Shipping,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0
"Howden, A Chart Industries Company",1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
Hyphen Deux Co. Ltd.,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
IFC - International Finance Corporation,0.0,6.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,15.0,2.0
Imexpharm Corporation,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
Informa Markets,1.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
Innity,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0
International Dairy Product JSC - IDP,1.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0
International School Ho Chi Minh City,0.0,5.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,5.0,0.0
Intrepid Asia,1.0,6.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,9.0,3.0
Ivoclar,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0
JDA WMS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0
JLL,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0
JTI (Japan Tobacco International),0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
Jabil,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
Jaspal Group,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
